,count,unique,top,freq,mean,std,min,25%,50%,75%,max
start_time,31,31,2022-08-09 20:05:38.068,1,,,,,,,
modify_sh_ver,3.0,,,,62607096.666666664,11200.59522227874,62600630.0,62600630.0,62600630.0,62610330.0,62620030.0
update_time,31,31,2022-08-09 20:07:39.185,1,,,,,,,
create_time,31,31,2022-08-09 20:07:39.185,1,,,,,,,
time_offset,31,3,UTC-0400,25,,,,,,,
end_time,31,31,2022-08-09 20:07:38.068,1,,,,,,,
datauuid,31,31,4f046ae7-9ddc-406d-b9c9-825bc536a799,1,,,,,,,
heart_rate,31,31,4f046ae7-9ddc-406d-b9c9-825bc536a799.heart_rate.json,1,,,,,,,
