duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
23307,0,38,2024-10-21 12:02:00.000,,,2024-10-21 12:02:50.485,2024-10-21 12:02:44.730,38,1.2009066,27.989998,1.5099996,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:03:00.000,0f2e07b9-3fae-4fad-861b-e55e91d5cafd
29421,0,55,2024-10-21 12:13:00.000,,,2024-10-21 12:15:01.091,2024-10-21 12:15:01.091,55,1.4166666,41.68,2.18,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:14:00.000,43322fd2-f9ff-4159-92dc-eb404f7d05ce
56395,0,94,2024-10-21 12:14:00.000,,,2024-10-21 12:15:01.126,2024-10-21 12:15:01.126,121,1.5277778,86.16,4.84,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:15:00.000,c543936a-cd3b-4195-9877-82a5a78268e2
4925,0,12,2024-10-21 09:25:00.000,,,2024-10-21 09:28:39.758,2024-10-21 09:28:39.758,12,1.9999999,9.850006,0.3699999,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 09:26:00.000,8993be9c-d591-4aa5-9608-eb14e22f9f99
7299,0,15,2024-10-21 09:36:00.000,,,2024-10-21 09:36:32.512,2024-10-21 09:36:32.512,15,1.6111112,11.7599945,0.59000015,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 09:37:00.000,d95aadd1-7722-4f55-ac6c-995ad2f50c5e
6584,0,12,2024-10-21 09:50:00.000,,,2024-10-21 09:50:18.856,2024-10-21 09:50:17.058,12,1.3563015,8.929993,0.47000027,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 09:51:00.000,543a020b-abd4-44cc-b085-0d77f65fa34d
7238,0,13,2024-10-21 10:24:00.000,,,2024-10-21 10:25:17.742,2024-10-21 10:25:17.742,13,1.3055556,9.449997,0.47000027,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 10:25:00.000,c6ab776f-b5c7-45de-b680-b554b74b26bb
7639,0,11,2024-10-21 10:25:00.000,,,2024-10-21 10:25:17.952,2024-10-21 10:25:17.952,11,1.0,7.6399994,0.43999958,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 10:26:00.000,285ec790-cdd6-4771-965d-1ccc5a1620cc
8252,0,13,2024-10-21 10:27:00.000,,,2024-10-21 10:27:53.141,2024-10-21 10:27:53.141,13,1.1111112,9.169998,0.5199995,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 10:28:00.000,696662e7-d3fe-47b1-a5bf-d6872b088a46
12836,0,18,2024-10-21 10:29:00.000,,,2024-10-21 10:31:38.693,2024-10-21 10:31:38.693,18,0.9722222,12.479996,0.72999954,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 10:30:00.000,29ba9a2f-547d-4839-a3e3-dcc0e79545ae
7604,0,10,2024-10-21 10:34:00.000,,,2024-10-21 10:35:00.111,2024-10-21 10:35:00.111,10,0.8888889,6.7599945,0.4300003,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 10:35:00.000,b73388b5-83f6-4005-bbd4-07e5a1405086
11407,0,19,2024-10-21 11:33:00.000,,,2024-10-21 11:34:28.592,2024-10-21 11:34:28.592,19,1.25,14.2599945,0.75,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 11:34:00.000,e2f0df62-5c77-4875-8112-ee58e8027db9
23269,0,47,2024-10-21 11:34:00.000,,,2024-10-21 11:35:00.059,2024-10-21 11:34:28.937,47,1.5617193,36.34001,1.7699995,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 11:35:00.000,4261651c-4d5e-455e-8da3-85c96c287bec
1267,0,3,2024-10-21 11:35:00.000,,,2024-10-21 11:39:34.827,2024-10-21 11:39:34.827,3,1.9166666,2.4299927,0.119999886,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 11:36:00.000,1eeb4abe-37ff-4bda-bfee-875f82083624
9808,0,22,2024-10-21 11:57:00.000,,,2024-10-21 11:57:15.673,2024-10-21 11:57:15.673,22,1.8055556,17.709991,0.8299999,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 11:58:00.000,b10ef926-874f-468c-b260-a498b4703f9a
13238,0,24,2024-10-21 11:58:00.000,,,2024-10-21 11:58:20.685,2024-10-21 11:58:13.089,24,1.37403,18.190002,0.9300022,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 11:59:00.000,c60f14a0-9181-4bec-81ce-f0de8fa6f84b
6472,0,12,2024-10-21 12:00:00.000,,,2024-10-21 12:00:29.250,2024-10-21 12:00:29.018,12,1.3888888,8.990021,0.460001,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:01:00.000,e1271fe8-9a68-42e1-a803-b68c3d2b8732
7356,1,13,2024-10-21 12:01:00.000,,,2024-10-21 12:06:23.306,2024-10-21 12:06:23.306,14,1.4722222,10.829987,0.75,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:02:00.000,7f9112fd-41f9-4db8-9da1-1cb72a93c1ed
6055,0,12,2024-10-21 12:02:00.000,,,2024-10-21 12:06:23.383,2024-10-21 12:06:23.383,12,1.5555556,9.420013,0.44000053,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:03:00.000,3687ceac-3e97-4131-8038-5736c6726c2e
9394,0,12,2024-10-21 12:03:00.000,,,2024-10-21 12:06:23.487,2024-10-21 12:06:23.487,12,0.8611111,8.089996,0.5,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:04:00.000,59a18893-9f58-40b4-84e8-8ee86d995b27
6341,0,12,2024-10-21 12:11:00.000,,,2024-10-21 12:15:00.103,2024-10-21 12:15:00.103,12,1.4444444,9.160004,0.47999954,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:12:00.000,d5620f9c-c53a-4c36-9070-986ee0352c89
27462,0,50,2024-10-21 12:13:00.000,,,2024-10-21 12:15:00.221,2024-10-21 12:15:00.221,50,1.3611112,37.380005,2.0300007,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:14:00.000,25476acc-e1c7-4585-bd3a-05917e93a9f7
48030,0,101,2024-10-21 12:14:00.000,,,2024-10-21 12:15:00.413,2024-10-21 12:15:00.413,101,1.6666666,80.05002,4.039999,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:15:00.000,ee96dac8-b227-463c-9c3f-0e6bc0a202bc
38306,0,69,2024-10-21 12:15:00.000,,,2024-10-21 12:20:27.680,2024-10-21 12:20:27.680,69,1.3611112,52.140015,2.75,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:16:00.000,725ea575-46df-4e3e-8679-b6f76954249a
48337,0,86,2024-10-21 12:16:00.000,,,2024-10-21 12:20:28.094,2024-10-21 12:20:28.094,86,1.3333334,64.45001,3.4300003,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:17:00.000,0416d699-e521-4f8a-b221-87603500a6e1
43316,0,91,2024-10-21 12:20:00.000,,,2024-10-21 12:22:42.282,2024-10-21 12:20:28.216,91,1.6582743,71.83002,3.6200027,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:21:00.000,0b0ea2d2-d0de-461d-a094-1ca33d91ec10
55901,0,107,2024-10-21 12:21:00.000,,,2024-10-21 12:22:42.555,2024-10-21 12:22:42.555,107,1.4722222,82.29999,4.3100014,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:22:00.000,08d58fc9-f34e-4ce7-9bdc-a3bcb3cbb020
43582,0,77,2024-10-21 12:15:00.000,,,2024-10-21 12:26:49.204,2024-10-21 12:26:49.204,77,1.3333334,58.11,3.07,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:16:00.000,b2513499-14de-406d-b60f-14650ff08316
49186,0,84,2024-10-21 12:16:00.000,,,2024-10-21 12:26:49.224,2024-10-21 12:26:49.224,84,1.2777778,62.85,3.36,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:17:00.000,29a96fbf-76b9-4f6e-9af8-e39e63d9778f
4525,0,8,2024-10-21 12:17:00.000,,,2024-10-21 12:26:49.250,2024-10-21 12:26:49.250,8,1.3611112,6.16,0.3,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:18:00.000,d4d1c249-ef3d-4ec9-9442-601451d02c25
48696,0,97,2024-10-21 12:20:00.000,,,2024-10-21 12:26:49.272,2024-10-21 12:26:49.272,97,1.5555556,75.75,3.87,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:21:00.000,885bc3cf-99b5-424e-a91a-0c5c6448f266
60000,0,109,2024-10-21 12:21:00.000,,,2024-10-21 12:26:49.304,2024-10-21 12:26:49.304,109,1.3713332,82.28,4.36,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:22:00.000,49885e2c-c0ce-4098-aed9-084c99a38656
60000,0,102,2024-10-21 12:22:00.000,,,2024-10-21 12:26:49.370,2024-10-21 12:26:49.370,105,1.3038332,78.23,4.2,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:23:00.000,6f080b79-d3fd-4eaf-874b-3e291a38f5fd
60000,0,122,2024-10-21 12:23:00.000,,,2024-10-21 12:26:49.419,2024-10-21 12:26:49.419,120,1.5381668,92.29,4.8,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:24:00.000,b94bd242-9fc1-4514-b386-e8c6a24c1914
60000,0,117,2024-10-21 12:24:00.000,,,2024-10-21 12:26:49.448,2024-10-21 12:26:49.448,116,1.4723333,88.34,4.64,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:25:00.000,a9dfdf24-a88c-4a0f-a912-6a75ed2d8b2f
60000,0,112,2024-10-21 12:25:00.000,,,2024-10-21 12:26:49.484,2024-10-21 12:26:49.484,112,1.4053333,84.32,4.48,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:26:00.000,e07df480-1208-42c4-a6bb-33eced3a40c3
53666,0,96,2024-10-21 12:26:00.000,,,2024-10-21 12:26:51.981,2024-10-21 12:26:49.508,96,1.3555843,72.74999,3.84,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:27:00.000,998c4a73-d292-47bf-937a-194ed8b58bf4
51378,0,90,2024-10-21 12:27:00.000,,,2024-10-21 12:27:59.621,2024-10-21 12:27:14.184,90,1.315325,67.57996,3.5899978,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:28:00.000,fdae05ae-fa63-4be6-a637-a313a69abfb3
60000,0,108,2024-10-21 12:28:00.000,,,2024-10-21 12:28:59.890,2024-10-21 12:28:00.208,115,1.4448334,86.69,4.599997,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:29:00.000,c1b2ace4-1488-4cf9-80dd-c6d0f37a4cc4
60000,0,114,2024-10-21 12:29:00.000,,,2024-10-21 12:29:59.693,2024-10-21 12:29:00.442,114,1.4424996,86.54997,4.559997,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:30:00.000,4a9111a7-d2c7-4b3b-b8dc-bae1e4875488
60000,0,113,2024-10-21 12:30:00.000,,,2024-10-21 12:30:59.790,2024-10-21 12:30:00.310,113,1.4209999,85.259995,4.519997,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:31:00.000,03330962-a129-4104-b046-7c0591ac7922
55844,0,102,2024-10-21 12:22:00.000,,,2024-10-21 12:24:30.913,2024-10-21 12:22:42.873,102,1.3806279,77.099976,5.0800056,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:23:00.000,565355c9-80e0-4785-8e0d-0e922ede7267
60000,0,119,2024-10-21 12:23:00.000,,,2024-10-21 12:24:31.185,2024-10-21 12:24:31.185,119,1.5420003,92.52002,4.739998,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:24:00.000,c9a0ef05-9340-4790-9c80-0b15f2e8d945
56115,0,111,2024-10-21 12:24:00.000,,,2024-10-21 12:25:53.634,2024-10-21 12:24:31.344,111,1.5377208,86.29004,4.430004,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:25:00.000,a24cad5e-7403-4a07-b0a0-7dfbd13195e4
59356,0,108,2024-10-21 12:25:00.000,,,2024-10-21 12:26:17.524,2024-10-21 12:25:53.972,108,1.3888887,82.44,4.3100014,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:26:00.000,1110c25d-2651-4738-8a83-e82e48be93ff
51960,0,94,2024-10-21 12:26:00.000,,,2024-10-21 12:30:26.404,2024-10-21 12:26:18.029,94,1.3619862,70.77002,3.6899986,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:27:00.000,fafc25e9-8535-4a39-9c82-c8f02b3cfa2c
48139,0,88,2024-10-21 12:27:00.000,,,2024-10-21 12:30:27.214,2024-10-21 12:30:27.214,88,1.3888888,66.859985,3.4699974,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:28:00.000,4b4462cb-0065-409f-bedc-ce367ed9f023
60000,0,116,2024-10-21 12:28:00.000,,,2024-10-21 12:30:27.978,2024-10-21 12:30:27.978,116,1.4898336,89.390015,4.5999985,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:29:00.000,d7e6f68c-18da-40a6-8be3-bcb33aa47d70
58410,0,110,2024-10-21 12:29:00.000,,,2024-10-21 12:30:28.332,2024-10-21 12:30:28.332,110,1.4444444,84.369995,4.3700027,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:30:00.000,6ddde239-e4ae-4735-88a8-8eec9382b32b
60000,0,112,2024-10-21 12:30:00.000,,,2024-10-21 12:32:33.529,2024-10-21 12:30:29.194,112,1.4265035,85.59021,4.4700165,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:31:00.000,0df6376b-b067-4fe6-af4b-ce85ed8e8738
60000,0,103,2024-10-21 12:31:00.000,,,2024-10-21 12:31:59.903,2024-10-21 12:31:00.317,112,1.3921669,83.530014,4.479997,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:32:00.000,3ec01940-a3cd-4c04-9607-3952983008d1
33497,0,56,2024-10-21 12:32:00.000,,,2024-10-21 12:32:59.601,2024-10-21 12:32:00.506,56,1.2442598,41.68,2.2199993,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:33:00.000,2954484f-180a-47a9-bfc6-63210fa1b269
24141,0,41,2024-10-21 12:33:00.000,,,2024-10-21 12:33:47.341,2024-10-21 12:33:00.278,41,1.2662642,30.57,1.6299996,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:34:00.000,6bc49ca0-36a7-4485-a20e-2d78030a0b96
60000,0,113,2024-10-21 12:31:00.000,,,2024-10-21 12:32:33.626,2024-10-21 12:32:33.626,113,1.4458333,86.75,4.5,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:32:00.000,3d3819b3-184e-41f4-8e15-48fefb99c4e0
26007,0,47,2024-10-21 12:32:00.000,,,2024-10-21 12:33:20.038,2024-10-21 12:32:33.747,47,1.3511622,35.140015,1.8600006,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:33:00.000,e30332f9-ad53-4c05-bd8d-ed4351ec697f
22808,0,41,2024-10-21 12:33:00.000,,,2024-10-21 12:34:05.176,2024-10-21 12:33:20.107,41,1.3587086,30.98999,1.6100006,UTC+0200,BQ++8KZ2oB,com.sec.android.app.shealth,2024-10-21 12:34:00.000,307a8dad-99e5-4999-b412-f6d17af5c3b4
24685,0,37,2024-10-21 12:34:00.000,,,2024-10-21 12:34:31.589,2024-10-21 12:34:08.831,44,1.323068,32.660004,1.7499995,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:35:00.000,efba72c4-899e-40c0-8a71-0ada18c7eb78
28757,0,42,2024-10-21 12:35:00.000,,,2024-10-21 12:35:30.680,2024-10-21 12:35:01.081,49,1.2581005,36.179996,1.9499996,UTC+0200,ZnmBp6HqkF,com.sec.android.app.shealth,2024-10-21 12:36:00.000,f3384ad2-6d65-4750-8320-bde19caf4b99
