exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,walk_time,longest_idle_time,datauuid,day_time
,750,,499983,,0,2020-04-21 03:24:44.396,,2020-04-20 04:00:00.460,,,,60,44689,13,,,,581.7801,,29.669998,e92b3e32-e797-4dc4-8199-9ef38ac5cb01.extra_data.json,499583,28800000,e92b3e32-e797-4dc4-8199-9ef38ac5cb01,2020-04-20 00:00:00.000
,10648,,6456888,,0,2020-01-21 02:50:09.017,,2020-01-20 03:00:00.421,,,,60,854661,178,,,,8262.495,,447.97327,4d65db5d-636a-4d81-87ec-718eca43cf1c.extra_data.json,6393930,24000000,4d65db5d-636a-4d81-87ec-718eca43cf1c,2020-01-20 00:00:00.000
,553,,367783,,0,2020-04-16 03:41:05.627,,2020-04-15 04:00:00.590,,,,60,36018,10,,,,442.75,,25.549995,f146c63a-3268-44e3-a5e3-8312ae225d01.extra_data.json,366183,38340000,f146c63a-3268-44e3-a5e3-8312ae225d01,2020-04-15 00:00:00.000
,2797,,1721610,,0,2020-10-26 02:08:11.093,,2020-10-25 03:00:01.305,,,,60,360000,46,,,,2179.2002,,126.740005,9921649d-261d-4c8b-a184-49f1845034d2.extra_data.json,1709928,27720000,9921649d-261d-4c8b-a184-49f1845034d2,2020-10-25 00:00:00.000
,788,,520256,,0,2020-06-04 02:12:37.363,,2020-06-03 04:00:01.280,,,,60,36018,13,,,,663.31,,36.43,d38a9521-e9f0-44b7-87cd-645bf98c204c.extra_data.json,512256,40560000,d38a9521-e9f0-44b7-87cd-645bf98c204c,2020-06-03 00:00:00.000
,10819,,6724314,,0,2020-02-12 01:36:20.707,,2020-02-11 03:00:00.991,,,,60,2389588,185,,,,8431.727,,436.09576,08ffab22-d200-4ab5-82f6-04013d5a5bc9.extra_data.json,6716121,33840000,08ffab22-d200-4ab5-82f6-04013d5a5bc9,2020-02-11 00:00:00.000
,3842,,2452401,,0,2020-06-23 02:00:39.121,,2020-06-22 04:00:00.712,,,,60,360000,66,,,,3073.6501,,168.41,75a12724-66ba-4d18-9262-2f8a537fd5e1.extra_data.json,2442801,39300000,75a12724-66ba-4d18-9262-2f8a537fd5e1,2020-06-22 00:00:00.000
,8142,,4799999,,0,2020-01-24 22:26:22.676,,2020-01-24 03:00:00.568,,,,60,540000,131,,,,6414.5425,,346.44992,17f00f67-1012-49d8-b61d-98ae887bb033.extra_data.json,4695311,27720000,17f00f67-1012-49d8-b61d-98ae887bb033,2020-01-24 00:00:00.000
,2238,,1474319,,0,2020-09-16 00:02:22.960,,2020-09-15 03:00:00.580,,,,60,120000,40,,,,1802.5498,,95.14,0d279a1c-c46e-43ef-a8ed-22b89e4be224.extra_data.json,1471919,22560000,0d279a1c-c46e-43ef-a8ed-22b89e4be224,2020-09-15 00:00:00.000
,499,,327226,,0,2020-06-01 03:38:36.105,,2020-05-31 04:00:01.523,,,,60,41087,8,,,,415.3699,,26.03,28d2584c-2ebb-448f-bf35-0b04b50a6bdd.extra_data.json,318826,32280000,28d2584c-2ebb-448f-bf35-0b04b50a6bdd,2020-05-31 00:00:00.000
