,count,unique,top,freq,mean,std,min,25%,50%,75%,max
start_time,658611,41,2024-10-24 23:30:00.000,34265,,,,,,,
update_time,658611,41,2024-10-25 09:45:30.310,34265,,,,,,,
create_time,658611,41,2024-10-25 09:45:30.310,34265,,,,,,,
is_integrated,0.0,,,,,,,,,,
time_offset,658611,2,UTC+0100,505637,,,,,,,
end_time,658611,41,2024-10-25 09:18:00.000,34265,,,,,,,
time,658611.0,,,,1731009000619.0251,900562601.5272325,1729477225802.0,1730177152068.0,1731050243110.0,1731820969913.0,1732445459611.0
channel,658611.0,,,,2.8266157701787116e+32,9.341312925368048e+34,-1.6615729999999998e+35,1.033978e-25,2.6469862e-23,4.235179000000001e-22,4.253591e+37
