sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,wind_speed_unit,forecast_time,wind_speed
0.0,2020-09-24 15:30:07.302,-33.42985,,NO. 320,Soleado,0.0,1,TWC,2020-09-24 15:30:07.311,2020-09-24 15:30:07.311,1,-70.61951,23.0,39,UTC-0300,km/h,0.0,5.0
0.0,2019-12-22 19:28:32.838,-30.59663,,O. 280,Soleado,0.0,1,TWC,2019-12-22 19:28:32.841,2019-12-22 19:28:32.841,1,-71.20098,26.0,40,UTC-0300,km/h,0.0,23.0
0.0,2019-04-29 18:08:20.441,-33.500515,,SSO. 210,Parcialmente nublado,0.0,1,TWC,2019-04-29 18:08:20.444,2019-04-29 18:08:20.444,1,-70.612434,22.0,42,UTC-0400,km/h,0.0,8.0
0.0,2020-07-15 19:00:29.591,-30.596434,,O. 270,Soleado,0.0,1,TWC,2020-07-15 19:00:29.596,2020-07-15 19:00:29.596,1,-71.18956,18.0,59,UTC-0400,km/h,0.0,13.0
0.0,2018-08-29 13:15:19.314,-33.497772,,E. 80,Soleado,0.0,1,TWC,2018-08-29 13:15:19.316,2018-08-29 13:15:19.316,1,-70.60986,8.0,78,UTC-0300,km/h,0.0,0.0
0.0,2020-07-30 21:20:10.094,-30.59615,,O. 280,Parcialmente nublado,0.0,1,TWC,2020-07-30 21:20:10.101,2020-07-30 21:20:10.101,1,-71.19049,19.0,41,UTC-0400,km/h,0.0,11.0
0.0,2019-04-10 12:18:27.000,-33.500175,,N. 10,Niebla,0.0,1,TWC,2019-04-10 12:18:27.002,2019-04-10 12:18:27.002,1,-70.609695,12.0,81,UTC-0400,km/h,0.0,0.0
0.0,2020-01-16 23:13:31.902,-33.429855,,SSO. 210,Soleado,0.0,1,TWC,2020-01-16 23:13:31.908,2020-01-16 23:13:31.908,1,-70.61963,29.0,24,UTC-0300,km/h,0.0,13.0
0.0,2018-04-16 13:03:58.757,-33.497543,,NE. 50,Soleado,0.0,1,TWC,2018-04-16 13:03:58.760,2018-04-16 13:03:58.760,1,-70.60908,14.0,72,UTC-0300,km/h,0.0,0.0
0.0,2019-10-15 21:36:00.489,-33.486423,,SSO. 210,Muy nublado,0.0,1,TWC,2019-10-15 21:36:00.491,2019-10-15 21:36:00.491,1,-70.619156,22.0,38,UTC-0300,km/h,0.0,11.0
0.0,2018-05-03 18:27:48.482,-33.497723,,SSO. 200,Soleado,0.0,1,TWC,2018-05-03 18:27:48.486,2018-05-03 18:27:48.486,1,-70.616066,24.0,31,UTC-0300,km/h,0.0,5.0
0.0,2020-01-06 22:53:51.148,-33.42982,,OSO. 240,Soleado,0.0,1,TWC,2020-01-06 22:53:51.151,2020-01-06 22:53:51.151,1,-70.61962,24.0,38,UTC-0300,km/h,0.0,13.0
0.0,2019-02-28 14:46:16.538,-30.59806,,O. 270,Soleado,0.0,1,TWC,2019-02-28 14:46:16.545,2019-02-28 14:46:16.545,1,-71.18867,22.0,61,UTC-0300,km/h,0.0,13.0
0.0,2019-11-12 15:43:30.214,-33.49224,,SSO. 210,Soleado,0.0,1,TWC,2019-11-12 15:43:30.216,2019-11-12 15:43:30.216,1,-70.617165,26.0,44,UTC-0300,km/h,0.0,10.0
0.0,2021-01-12 11:50:43.573,-30.60093,,O. 280,Soleado,0.0,1,TWC,2021-01-12 11:50:43.577,2021-01-12 11:50:43.577,1,-71.19909,16.0,65,UTC-0300,km/h,0.0,5.0
0.0,2018-05-05 15:43:01.160,-33.49922,,SSE. 150,Soleado,0.0,1,TWC,2018-05-05 15:43:01.164,2018-05-05 15:43:01.164,1,-70.61578,20.0,41,UTC-0300,km/h,0.0,3.0
0.0,2020-09-29 15:19:44.263,-33.424873,,ESE. 110,Muy nublado,0.0,1,TWC,2020-09-29 15:19:44.311,2020-09-29 15:19:44.311,1,-70.61041,12.0,65,UTC-0300,km/h,0.0,5.0
0.0,2018-05-23 16:52:51.066,-33.499348,,S. 190,Soleado,0.0,1,TWC,2018-05-23 16:52:51.071,2018-05-23 16:52:51.071,1,-70.61635,21.0,28,UTC-0400,km/h,0.0,2.0
0.0,2018-07-15 08:54:37.688,-30.611547,,E. 100,Parcialmente nublado,0.0,1,TWC,2018-07-15 08:54:37.691,2018-07-15 08:54:37.691,1,-71.20279,10.0,86,UTC-0400,km/h,0.0,5.0
0.0,2019-02-21 23:26:52.774,-33.48655,,OSO. 240,Soleado,0.0,1,TWC,2019-02-21 23:26:52.776,2019-02-21 23:26:52.776,1,-70.61976,23.0,56,UTC-0300,km/h,0.0,11.0
